#: table_doi: 10.17182/hepdata.94312.v1/t6
#: name: Figure 19b - Corr. Mtx for $p_{T}^{4l}$
#: description: Correlation matrix between the measured cross sections and the $ZZ^{*}$ background normalization corresponding to the differential fiducial cross section for the transverse momentum $p_{T}^{4l}$ of the Higgs boson.
#: data_file: CorrMatrix_table_pt.yaml
#: keyword reactions: P P --> H --> Z0 Z0 --> LEPTON + LEPTON + LEPTON + LEPTON
#: keyword observables: Results
#: keyword cmenergies: 13000.0
#: keyword phrases: Higgs Boson | Measurement of cross sections | Higgs boson differential cross sections | Higgs to 4leptons

$350-1000 \ \mbox{GeV}$, -3.1e-09
$ZZ^{*} \ 0-10 \ \mbox{GeV}$,1
$ZZ^{*} \ 10-20 \ \mbox{GeV}$,0.0018
$ZZ^{*} \ 20-30 \ \mbox{GeV}$,0.0019
$ZZ^{*} \ 30-60 \ \mbox{GeV}$,0.0026
$ZZ^{*} \ 60-1000 \ \mbox{GeV}$,0.0024

$p_{T}^{4l}$ [],$ZZ^{*} \ 10-20 \ \mbox{GeV}$
$0-10 \ \mbox{GeV}$, 0.025
$10-20 \ \mbox{GeV}$, -0.38
$20-30 \ \mbox{GeV}$, 0.028
$30-45 \ \mbox{GeV}$, -0.0011
$45-60 \ \mbox{GeV}$, 0.00037
$60-80 \ \mbox{GeV}$, -0.00074
$80-120 \ \mbox{GeV}$, 0.00041
$120-200 \ \mbox{GeV}$, 0.00027
$200-350 \ \mbox{GeV}$, 1.2e-06
$350-1000 \ \mbox{GeV}$, -2.3e-09
$ZZ^{*} \ 0-10 \ \mbox{GeV}$,0.0018
$ZZ^{*} \ 10-20 \ \mbox{GeV}$,1
$ZZ^{*} \ 20-30 \ \mbox{GeV}$,0.0066
$ZZ^{*} \ 30-60 \ \mbox{GeV}$,0.01
$ZZ^{*} \ 60-1000 \ \mbox{GeV}$,0.0084

$p_{T}^{4l}$ [],$ZZ^{*} \ 20-30 \ \mbox{GeV}$
$0-10 \ \mbox{GeV}$, -0.0018
$10-20 \ \mbox{GeV}$, 0.02
$20-30 \ \mbox{GeV}$, -0.36
$30-45 \ \mbox{GeV}$, 0.022
$45-60 \ \mbox{GeV}$, -5.6e-05
$60-80 \ \mbox{GeV}$, -0.0015
$80-120 \ \mbox{GeV}$, 0.00027
$120-200 \ \mbox{GeV}$, 0.0006
$200-350 \ \mbox{GeV}$, -8.7e-06
$350-1000 \ \mbox{GeV}$, -2.1e-09
$ZZ^{*} \ 0-10 \ \mbox{GeV}$,0.0019
$ZZ^{*} \ 10-20 \ \mbox{GeV}$,0.0066
$ZZ^{*} \ 20-30 \ \mbox{GeV}$,1
$ZZ^{*} \ 30-60 \ \mbox{GeV}$,0.01
$ZZ^{*} \ 60-1000 \ \mbox{GeV}$,0.0092

$p_{T}^{4l}$ [],$ZZ^{*} \ 30-60 \ \mbox{GeV}$
$0-10 \ \mbox{GeV}$, -7.4e-05
$10-20 \ \mbox{GeV}$, -0.00097
$20-30 \ \mbox{GeV}$, 0.012
$30-45 \ \mbox{GeV}$, -0.22
$45-60 \ \mbox{GeV}$, -0.2
$60-80 \ \mbox{GeV}$, 0.0059
$80-120 \ \mbox{GeV}$, 0.00014
$120-200 \ \mbox{GeV}$, 0.0025
$200-350 \ \mbox{GeV}$, 0.0005
$350-1000 \ \mbox{GeV}$, -1.3e-08
$ZZ^{*} \ 0-10 \ \mbox{GeV}$,0.0026
$ZZ^{*} \ 10-20 \ \mbox{GeV}$,0.01
$ZZ^{*} \ 20-30 \ \mbox{GeV}$,0.01
$ZZ^{*} \ 30-60 \ \mbox{GeV}$,1
$ZZ^{*} \ 60-1000 \ \mbox{GeV}$,0.038

$p_{T}^{4l}$ [],$ZZ^{*} \ 60-1000 \ \mbox{GeV}$
$0-10 \ \mbox{GeV}$, -0.00027
$10-20 \ \mbox{GeV}$, -0.00066
$20-30 \ \mbox{GeV}$, -0.001
$30-45 \ \mbox{GeV}$, -0.00031
$45-60 \ \mbox{GeV}$, 0.015
$60-80 \ \mbox{GeV}$, -0.25
$80-120 \ \mbox{GeV}$, -0.15
$120-200 \ \mbox{GeV}$, -0.071
$200-350 \ \mbox{GeV}$, -0.0089
$350-1000 \ \mbox{GeV}$, 2.7e-07
$ZZ^{*} \ 0-10 \ \mbox{GeV}$,0.0024
$ZZ^{*} \ 10-20 \ \mbox{GeV}$,0.0084
$ZZ^{*} \ 20-30 \ \mbox{GeV}$,0.0092
$ZZ^{*} \ 30-60 \ \mbox{GeV}$,0.038
$ZZ^{*} \ 60-1000 \ \mbox{GeV}$,1

